STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-11-18 23:12:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,23,MALE,BLACK,47,1,True,Twentyone-Twentyeight,1,1
2021-11-18 23:55:00,MURDER,1,0,0,0,0,0,1,0,23,MALE,WHITE HISPANIC,109,1,True,Twentyone-Twentyeight,1,0
2021-11-19 00:38:00,ROBBERY,0,1,0,0,0,0,1,0,21,MALE,BLACK HISPANIC,40,1,True,Twentyone-Twentyeight,1,1
2021-11-19 00:38:00,ROBBERY,0,0,1,0,0,0,1,0,20,MALE,WHITE HISPANIC,40,2,True,Twenty and Under,1,1
2021-11-19 01:04:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,31,FEMALE,WHITE,106,1,True,Twentyeight-Thirtyeight,1,1
2021-11-19 01:04:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,WHITE,106,1,True,UNKNOWN,1,1
2021-11-19 07:15:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,UNKNOWN,MALE,WHITE HISPANIC,115,1,True,UNKNOWN,1,1
2021-11-19 07:15:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,21,MALE,WHITE HISPANIC,115,1,True,Twentyone-Twentyeight,1,1
2021-11-19 12:39:00,ASSAULT,0,0,1,0,0,0,0,0,35,MALE,BLACK,43,1,True,Twentyeight-Thirtyeight,1,1
2021-11-19 12:41:00,OTHER,0,0,0,0,0,0,1,0,34,MALE,BLACK,28,1,True,Twentyeight-Thirtyeight,1,1
2021-11-19 14:03:00,ASSAULT,0,0,0,0,0,0,1,0,38,FEMALE,WHITE HISPANIC,5,1,True,Twentyeight-Thirtyeight,1,1
